Series Name,Series Code,Country Name,Country Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Military expenditure (current USD),MS.MIL.XPND.CD,Brazil,BRA,33987005074.0629,32874787230.5887,32659614240.8021,24617701683.0655,24224746901.4667,29283050314.4654,27766427104.014
Military expenditure (current USD),MS.MIL.XPND.CD,Canada,CAN,20452107110.9741,18515731209.9437,17853720278.4558,17937641894.7407,17782775543.0736,21343371454.876,21620598711.9827
Military expenditure (current USD),MS.MIL.XPND.CD,China,CHN,157390377245.803,179880451357.744,200772203839.984,214093069946.25,216031280078.816,227829417915.783,249996900635.144
Military expenditure (current USD),MS.MIL.XPND.CD,France,FRA,60035153810.7707,62417099178.2612,63613569143.462,55342131529.3335,57358414419.1346,60417498821.8926,63799676593.1329
Military expenditure (current USD),MS.MIL.XPND.CD,Germany,DEU,46470870904.8252,45930540563.148,46102673010.4001,39812576244.8708,41579494873.8205,45381722042.225,49470627810.6299
Military expenditure (current USD),MS.MIL.XPND.CD,Italy,ITA,29781008205.1256,29957445904.5168,27701034334.9422,22180845070.4225,25033027894.6754,26447892915.4274,27807513898.2331
Military expenditure (current USD),MS.MIL.XPND.CD,Japan,JPN,60011530194.6974,49023932406.8581,46881244398.3207,42106103305.7928,46471287714.246,45387031801.8653,46617954863.9536
Military expenditure (current USD),MS.MIL.XPND.CD,India,IND,47216920048.2061,47403528801.4226,50914108341.0482,51295483753.9436,56637622640.8741,64559435280.6927,66510289108.4743
Military expenditure (current USD),MS.MIL.XPND.CD,United Kingdom,GBR,58495656720.591,56861759588.2819,59182858554.2566,53862185493.2918,48118943518.1008,46433303401.2281,49997192520.5639
Military expenditure (current USD),MS.MIL.XPND.CD,United States,USA,684780000000,639704000000,609914000000,596104639000,600106443000,605802927000,648798273000
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Brazil,BRA,1.37865646470437,1.3294461087607,1.330244423168,1.36551715396161,1.35015057288696,1.41952663807017,1.47490154739588
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Canada,CAN,1.12109997322812,1.00485841865034,0.992270560043976,1.15012649687129,1.15845887951202,1.29339510677837,1.25262923236361
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,China,CHN,1.83645175975595,1.86694378614298,1.90584810515868,1.90708648617996,1.92494712446006,1.8965104068694,1.86593660065812
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,France,FRA,2.23692601124854,2.22039695086268,2.2303600626115,2.26989054016681,2.32732364460048,2.34967851446849,2.29394279932913
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Germany,DEU,1.31126144743425,1.22399371603261,1.18250589568467,1.17745649193469,1.18990426457789,1.23414110223535,1.23376875688812
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Italy,ITA,1.43673729982365,1.4061281724513,1.28738252755904,1.21061949945203,1.33960598612479,1.36652876351231,1.3327023072539
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Japan,JPN,0.96742708258411,0.950865860745235,0.966999334469794,0.95805043104534,0.939582602953803,0.930768157014813,0.923839535738282
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,India,IND,2.53734660363375,2.47272671433353,2.49676988106994,2.4051274700264,2.50647075056096,2.50962455841482,2.41903434166523
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,United Kingdom,GBR,2.18544195437133,2.06502466578136,1.94880699671148,1.85961202401681,1.81078016820308,1.77109384285715,1.78220538089607
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,United States,USA,4.22781807423097,3.81119867585356,3.48089719592458,3.27183126417642,3.20789216926033,3.10901040543496,3.16286487973421
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,
Last Updated: 05/28/2020,,,,,,,,,,
