Series Name,Series Code,Country Name,Country Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
GDP (current US$),NY.GDP.MKTP.CD,Brazil,BRA,2465188674415.03,2472806919901.67,2455993625159.37,1802214373741.32,1795700168991.49,2062831045935.95,1885482534238.33
GDP (current US$),NY.GDP.MKTP.CD,Canada,CAN,1823966686523.63,1842018420853.1,1801480123070.82,1552899925233.71,1526705529135.32,1646867220617.47,1713341704877.01
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,8532230724141.76,9570405758739.79,10438529153237.6,11015542352468.9,11137945669350.6,12143491448186.1,13608151864637.9
GDP (current US$),NY.GDP.MKTP.CD,France,FRA,2683825225092.63,2811077725703.59,2852165760630.27,2438207896251.84,2471285607081.72,2586285406561.51,2777535239277.98
GDP (current US$),NY.GDP.MKTP.CD,Germany,DEU,3527344944139.83,3732743446218.92,3883920155292.26,3360549973888.58,3466790065011.83,3656749414477.08,3947620162502.96
GDP (current US$),NY.GDP.MKTP.CD,Italy,ITA,2087077032435.15,2141315327318.21,2159133919743.77,1835899237320.04,1875579883543.09,1956960611690.59,2083864259622.65
GDP (current US$),NY.GDP.MKTP.CD,Japan,JPN,6203213121334.12,5155717056270.83,4850413536037.84,4389475622588.97,4926667087367.51,4859950558538.97,4971323079771.87
GDP (current US$),NY.GDP.MKTP.CD,India,IND,1827637859135.7,1856722121394.53,2039127446298.55,2103587813812.75,2290432075123.75,2652242857923.91,2718732231257.57
GDP (current US$),NY.GDP.MKTP.CD,United Kingdom,GBR,2704887678386.72,2786022872706.81,3063803240208.01,2928591002002.51,2694283209613.29,2666229179958.01,2855296731521.96
GDP (current US$),NY.GDP.MKTP.CD,United States,USA,16197007349000,16784849190000,17521746534000,18219297584000,18707188235000,19485393853000,20544343456936.5
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,12370.0242007149,12300.3248822758,12112.5882059697,8814.00098681261,8710.09668954121,9925.38623770041,9001.23424863499
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,52542.3466648232,52504.655704109,50835.5111782446,43495.0543869902,42279.9008231637,45066.1619018552,46234.3507461125
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,6316.91886335683,7050.64591988963,7651.36604428568,8033.38804310679,8078.79047437238,8759.04157775098,9770.84708783314
GDP per capita (current US$),NY.GDP.PCAP.CD,France,FRA,40874.7035053457,42592.9340943342,43011.2631028417,36638.184929157,37038.9551282086,38679.1271482419,41469.9195544229
GDP per capita (current US$),NY.GDP.PCAP.CD,Germany,DEU,43858.3630551076,46285.7640688407,47959.9932737599,41139.5445685533,42098.9204453545,44240.0441099604,47615.7400276733
GDP per capita (current US$),NY.GDP.PCAP.CD,Italy,ITA,35053.5262442572,35549.9746972954,35518.4152916749,30230.2263021296,30936.125444977,32326.8417463954,34488.6388549862
GDP per capita (current US$),NY.GDP.PCAP.CD,Japan,JPN,48603.4766497749,40454.4474578903,38109.4121125573,34524.4698609337,38794.3309405515,38331.9793978104,39289.9584346358
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,1443.87952939042,1449.6059123387,1573.88149211052,1605.60543109026,1729.26802051544,1981.26870609561,2009.97885727039
GDP per capita (current US$),NY.GDP.PCAP.CD,United Kingdom,GBR,42462.771568145,43444.533001954,47425.6076805194,44974.8318771782,41064.1334316223,40361.4173832159,42962.4127663553
GDP per capita (current US$),NY.GDP.PCAP.CD,United States,USA,51610.6052783379,53117.6678308301,55047.7255604544,56822.5188202456,57927.5168515062,59957.7258513032,62886.8364845599
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,
Last Updated: 05/28/2020,,,,,,,,,,
