Series Name,Series Code,Country Name,Country Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Population, total",SP.POP.TOTL,Brazil,BRA,199287296,201035903,202763735,204471769,206163058,207833831,209469333
"Population, total",SP.POP.TOTL,Canada,CAN,34714222,35082954,35437435,35702908,36109487,36543321,37057765
"Population, total",SP.POP.TOTL,China,CHN,1350695000,1357380000,1364270000,1371220000,1378665000,1386395000,1392730000
"Population, total",SP.POP.TOTL,France,FRA,65659809,65998687,66312067,66548272,66721256,66865144,66977107
"Population, total",SP.POP.TOTL,Germany,DEU,80425823,80645605,80982500,81686611,82348669,82657002,82905782
"Population, total",SP.POP.TOTL,Italy,ITA,59539717,60233948,60789140,60730582,60627498,60536709,60421760
"Population, total",SP.POP.TOTL,Japan,JPN,127629000,127445000,127276000,127141000,126994511,126785797,126529100
"Population, total",SP.POP.TOTL,India,IND,1265782790,1280846129,1295604184,1310152403,1324509589,1338658835,1352617328
"Population, total",SP.POP.TOTL,United Kingdom,GBR,63700215,64128273,64602298,65116219,65611593,66058859,66460344
"Population, total",SP.POP.TOTL,United States,USA,313830990,315993715,318301008,320635163,322941311,324985539,326687501
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,
Last Updated: 05/28/2020,,,,,,,,,,
